하나,one (Korean)
둘,two (Korean)
셋,three (Korean)
넷,four (Korean)
다섯,five (Korean)
여섯,six (Korean)
일곱,seven (Korean)
여덟,eight (Korean)
아홉,nine (Korean)
열,ten (Korean)
스물,twenty (Korean)
서른,thirty (Korean)
마흔,forty (Korean)
쉰,fifty (Korean)
일,one (Sino-Korean)
이,two (Sino-Korean)
삼,three (Sino-Korean)
사,four (Sino-Korean)
오,five (Sino-Korean)
육,six (Sino-Korean)
칠,seven (Sino-Korean)
팔,eight (Sino-Korean)
구,nine (Sino-Korean)
십,ten (Sino-Korean)
백,one hundred (Sino-Korean)
천,one thousand (Sino-Korean)
만,ten thousand (Sino-Korean)
영,zero (Sino-Korean) [Zero]
공,zero (Sino-Korean) [Oh]
처음,the first time/beginning
마지막,last
번째,counter for 1st/2nd/3rd/etc..
첫 번째,first (1st)
두 번째,second (2nd)
개,counter for things
번,counter for behaviors/actions
명,counter for people
대,counter for automobiles
잔,counter for a ‘glass’ of ____
시,“o’clock”
분,minute
초,second
살,years old
