1월 (일월),January
2월 (이월),February
3월 (삼월),March
4월 (사월),April
5월 (오월),May
6월 (유월),June*
7월 (칠월),July
8월 (팔월),August
9월 (구월),September
10월 (시월),October*
11월 (십일월),November
12월 (십이월),December
기회,chance/opportunity
계획,plans
회사원,office worker
요리사,a cook/chef
운전사,a driver
달리다,to run
요리하다,to cook
운전하다,to drive
죽다,to die
두렵다,to be scared
이상하다,to be strange
동안,"for, during, while"
달,month
개월,month
날,day
하루,one day
이틀,two days
사흘,three days
지난 주,last week
지난 달,last month
이번 주,this week
이번 달,this month
다음 주,next week
다음 달,next month
작년,last year
올해,this year
내년,next year
평생 (동안),in my whole life
보통,usually
