길,street
거리,street/road
손,hand
영어,English
택시,taxi
열차,train
역,train/subway station
버스 정류장,bus stop
비행기,airplane
자전거,bicycle
아내,wife
아이,child
아들,son
딸,daughter
남편,husband
아버지,father
어머니,mother
편지,letter
맛,taste
식사,meal
아침,morning
아침식사,breakfast
물,water
사과,apple
돈,money
오다,to come
끝내다,to finish
춤추다,to dance
알다,to know
걷다,to walk
배우다,to learn
연습하다,to practice
생각하다,to think
살다,to live
끝나다,to be finished
위험하다,to be dangerous
잘생기다,to be handsome
못생기다,to be ugly
피곤하다,to be tired
다르다,to be different
슬프다,to be sad
맛있다,to be delicious
재미있다,"to be fun, to be funny"
많다,"to be many of, to be a lot of"
행복하다,to be happy
거기,there
저기,there (when farther away)
지금,now
하지만,but
