동생,younger sibling
남동생,younger brother
여동생,younger sister
형,older brother (If you're male)
오빠,older brother (If you're female)
누나,older sister (If you're male)
언니,older sister (If you're female)
삼촌,uncle
이모,aunt (on mother’s side)
고모,aunt (on father’s side)
아저씨,older man not related to you
아주머니,older woman not related to you
할아버지,grandfather
할머니,grandmother
친구,friend
사진,picture
안경,glasses
비밀,secret
비,rain
가게,store/shop
박물관,museum
가스 레인지,stove (gas range)
오리,duck (animal)
꼬리,tail
공,ball
기대하다,to expect
건너다,to cross (a road/etc)
던지다,to throw
싫어하다,to not like
떠나다,to leave somewhere
농담하다,to joke
공부하다,to study
지루하다,to be boring
마르다,for a person to be too thin
멀다,to be far away
마르다,to be dry
비슷하다,to be similar
싫다,to not be good
오래되다,for an object to be old
배고프다,to be hungry
오늘,today
어제,yesterday
내일,tomorrow
모레,the day after tomorrow
년,year
일,day
시간,time
월요일,Monday
화요일,Tuesday
수요일,Wednesday
목요일,Thursday
금요일,Friday
토요일,Saturday
일요일,Sunday
