신발,shoe
남방,shirt
질문,question
문제,"question, problem"
나이,age
화장실,"bathroom, restroom"
부장님,boss
분위기,the atmosphere of something
차,tea
바지,pants
교실,classroom
급식,food at school
교감선생님,vice principal
교장선생님,principal
풀,glue
수도,capital city
병,bottle
병,"disease, sickness"
생선,fish
야채,vegetable
언덕,hill
선물,present
기타,guitar
종이,paper
우유,milk
손목,wrist
시계,clock/watch
손목시계,wristwatch
영화,movie
노력하다,to try
앉다,to sit
만지다,to touch
자다,to sleep
보다,to see
기다리다,to wait
청소하다,to clean
약속하다,to promise
듣다,to hear
들어보다,to listen
그만하다,to stop
운동하다,to exercise
놀라다,to be surprised
빠르다,to be fast
느리다,to be slow
착하다,to be nice
곧,soon
항상,always
주,week
아래,bottom
