기계,machine
대학교,"college, university"
트럭,truck
검은색,(the color) black
흰색,(the color) white
음료수,"beverage, drink"
외국,foreign country
외국인,foreigner
고등학교,high school
도서관,library
곳,place
동시,same time
밤,night
어젯밤,last night
낮,daytime
동,East
남,South
서,West
북,North
놀다,to play
쓰다,to use
쓰다,to write
실수하다,to make a mistake
수리하다,to repair
잡다,"to catch, to grab, to grasp"
읽다,to read
내다,to pay for
받다,"to get, to receive, to acquire"
도착하다,to arrive
여행하다,to travel
완벽하다,to be perfect
아프다,"to be sick, to be sore"
똑똑하다,to be smart
중요하다,to be important
젊다,to be young
늙다,to be old
나쁘다,to be bad
바로,immediately
즉시,immediately
빨리,quickly/fast
자주,often
가끔,sometimes
많이,many/a lot of
방금,a moment ago
갑자기,suddenly
매년,every year
다시,again
혼자,alone
안,not
