공장,factory
열,fever
극장,theater
회사,company
장소,place/location
간판,a sign
직업,job
수업,a class (that you 'take' or 'teach')
고기,meat
돼지,pig
돼지고기,pork
소,cow
소고기,beef
꽃,flowers
값,price
땅콩,peanut
축구(하다),(to play) soccer
야구(하다),(to play) baseball
여권,passport
수건,towel
체육,physical education
지하철,subway
미래,future
되다,to become
시작하다,to start
행동하다,to act
소개하다,to introduce
발견하다,"to discover, to find"
방문하다,to visit
잃다,to lose
잃어버리다,to lose
입다,"to put on one's clothes, to wear"
벗다,to take off one's clothes
웃다,to laugh
부끄럽다,to be shy
건강하다,to be healthy
이제,now
현재,now/present
